koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err2,koi_teq,koi_insol,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err2,koi_srad_err1,ra,dec,koi_kepmag
0,0,0,0,117.033521,245.65151,0.00728,0.188,0.257,-0.188,6.822,0.209,-0.209,770.4,37.4,-37.4,2.68,-0.32,349,3.49,-0.93,21.9,3,5312,79,4.384,-0.074,0.107,283.0228,47.261131,14.621
0,0,1,0,0.849277809,132.17649,0.00576,1.187,1.998,-0.224,3.137,0.283,-0.283,690.8,50.4,-50.4,20.11,-1.91,1781,2366.84,-672.26,17.1,1,5743,172,4.553,-0.192,0.242,296.99405,41.129471,15.845
0,0,1,0,2.21568076,132.26619,0.00973,0.563,0.007,-0.497,1.515,0.386,-0.386,43.6,9.4,-9.4,0.57,-0.07,1236,550.44,-178.46,6.9,1,5349,159,4.478,-0.115,0.13,286.80914,46.390411,13.805
0,0,1,0,0.89628253,131.54972,0.00348,0.176,0.271,-0.176,1.397,0.11,-0.11,86.4,7.9,-7.9,0.76,-0.07,1670,1848.85,-496.81,13,1,5561,194,4.572,-0.17,0.214,296.50925,44.625912,15.248
0,1,0,0,4.101595158,132.6324315,3.52E-05,0.394,0.001,-0.001,6.10362,0.00222,-0.00222,366580,169,-169,51.08,-4.87,1028,264.23,-70.46,3809.8,1,5610,152,4.533,-0.137,0.181,292.05801,37.592049,14.162
0,0,0,0,16.00496657,135.25305,0.00283,0.013,0.426,-0.012,6.5047,0.0847,-0.0847,377.5,9,-9,3.71,-1.04,1040,276.53,-141.18,49.8,1,6384,70,4.029,-0.129,0.388,292.75732,43.42691,12.818
0,1,0,0,2.115510941,131.99122,0.000122,0.492,0.007,-0.006,7.2877,0.00772,-0.00772,415160,377,-377,191.42,-71.55,2701,12609.03,-8499.76,1351.5,1,7563,211,3.883,-0.123,0.493,287.17612,38.433498,12.119
0,0,0,0,10.21418792,170.70466,0.00149,0.016,0.393,-0.016,5.8201,0.0495,-0.0495,303.8,4.5,-4.5,2.29,-0.37,957,198.34,-70.39,78.6,1,5843,105,4.25,-0.112,0.218,292.18689,41.727051,13.336
0,1,0,0,1.752562808,132.7222455,2.44E-05,0.545,0.002,-0.003,6.1245,0.00156,-0.00156,368000,77.7,-77.7,124.23,-55.16,2018,3915.22,-2830.42,5494.6,1,5853,140,3.971,-0.14,0.398,298.79889,42.390888,11.388
0,0,1,1,3.351556891,134.28439,0.00181,0.129,0.342,-0.129,2.4005,0.057,-0.057,341.9,10.4,-10.4,1.64,-0.22,1074,314.73,-106.17,38.8,1,5185,155,4.442,-0.143,0.15,295.52521,46.459431,14.815
1,0,1,0,6.6751871,137.4528,0.026,0.251,0.294,-0.251,2.372,0.805,-0.805,178.3,60,-60,1.09,-0.1,890,148.28,-41.2,7,1,5774,172,4.567,-0.184,0.224,299.33994,40.925362,15.554
0,1,0,0,3.305577989,180.68154,0.0017,1.145,7.09,-0.656,2.5903,0.0849,-0.0849,17971,538,-538,25.89,-2.02,1027,263.55,-64.68,39.6,1,5534,163,4.629,-0.112,0.118,292.07849,38.631481,15.537
0,1,0,0,120.003364,250.137832,0.000561,0.78,0.025,-0.017,3.3803,0.033,-0.033,39596,543,-543,15.08,-1.17,240,0.78,-0.21,131.1,1,4315,142,4.627,-0.028,0.038,292.30069,38.402142,15.635
0,0,0,0,5.52418625,135.62306,0.00334,0.492,0.449,-0.286,2.826,0.111,-0.111,491,26.1,-26.1,2.25,-0.29,976,214.86,-61.83,20.7,1,5334,79,4.372,-0.099,0.118,294.94388,39.032059,15.377
0,0,0,0,10.31282204,133.53528,0.0024,0.061,0.365,-0.061,2.0138,0.0694,-0.0694,137.6,6.9,-6.9,0.59,-0.06,443,9.07,-2.27,22,3,3846,77,4.738,-0.024,0.032,290.3815,43.292988,12.925
0,0,1,1,4.8807805,133.705,0.019,0.581,0.048,-0.47,9.4,0.571,-0.571,79,5.9,-5.9,0.48,-0.03,706,58.98,-13.88,15.9,1,4763,131,4.738,-0.021,0.023,296.25168,39.18399,14.203
0,0,1,1,8.09695764,140.74216,0.00238,1.165,41.48,-0.021,3.319,0.118,-0.118,283.5,9.4,-9.4,34,-7.78,1197,484.58,-211.75,35.4,1,5949,80,4.024,-0.087,0.261,292.73627,37.560341,13.295
0,1,0,0,2.649026189,133.379281,0.000312,0.914,0.996,-0.081,2.4698,0.0232,-0.0232,52172,327,-327,32.7,-7.21,1377,852.59,-388.89,190.1,1,5838,159,4.342,-0.205,0.291,284.34503,40.196091,13.87
0,1,1,0,0.54028956,131.85133,0.00161,1.181,0.18,-0.093,3.619,0.138,-0.138,293.5,6.6,-6.6,21.45,-1.92,2279,6356.72,-1791.64,58.4,1,5997,169,4.483,-0.224,0.333,296.0878,41.316841,14.568
1,0,0,1,4.20601251,132.2794,0.0211,0.304,0.167,-0.304,6.82,0.404,-0.404,106.7,11.4,-11.4,0.82,-0.1,1004,239.82,-79.55,10.7,1,5514,210,4.518,-0.116,0.146,298.50342,41.080181,15.454
0,0,0,0,1.921437488,131.806204,0.000961,0.919,0.031,-0.672,1.9046,0.0285,-0.0285,278.7,5.8,-5.8,1.77,-0.24,1276,626.79,-203.34,56.7,1,5238,158,4.472,-0.273,0.197,296.95206,43.271969,14.131
0,0,0,0,26.5487294,137.24401,0.00926,0.21,0.245,-0.21,7.968,0.27,-0.27,142,10.6,-10.6,2.54,-1.6,836,115.61,-101.58,15.3,1,5456,191,3.802,-0.23,0.833,299.86182,45.827351,13.961
1,0,0,0,11.63785889,136.885517,0.000107,0.473,0.004,-0.002,11.8851,0.00605,-0.00605,427950,196,-196,77.01,-8.81,895,151.54,-49.76,2637,1,6360,176,4.433,-0.216,0.339,290.18271,41.21664,15.385
0,0,0,0,8.11437482,176.33968,0.00107,0.573,0,-0.468,2.2736,0.0447,-0.0447,1558,32,-32,2.1,-0.16,460,10.55,-2.31,56.4,1,3692,73,4.753,-0.039,0.035,288.81201,40.033401,15.877
